A_new,T1,T2,T3,T4,T5,X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,Y5,Y6,B,C,D
f7d44a4f433b650eb0bf9eee68f7704c19cbebbd166f29712dd22f7e542e7abb,350,1068,1300,1487,1609,0.534133333,0.2008,0.827466667,0.528,0.52,0.5272,0.600840336,0.193277311,0.400420168,0.406302521,0.673529412,0.673529412,1,2,0
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,224,429,660,861,1130,0.519907407,0.828888889,0.851018519,0.146203704,0.533796296,0.509722222,0.441640706,0.376220145,0.181100727,0.171754933,0.580685358,0.20913811,0,4,1
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,185,349,657,912,1558,0.481018519,0.182222222,0.502314815,0.216481481,0.84462963,0.509722222,0.167601246,0.337798546,0.396988577,0.613914849,0.610799585,0.81007269,0,4,1
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,355,642,965,1506,1808,0.811296296,0.488425926,0.165555556,0.478240741,0.832592593,0.191481481,0.207061267,0.602492212,0.399065421,0.15721703,0.587954309,0.60768432,0,4,1
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,176,376,586,756,912,0.84462963,0.174814815,0.508796296,0.500462963,0.167407407,0.817777778,0.591304348,0.378730905,0.581903643,0.794477086,0.164864865,0.190716804,0,4,1
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,357,518,758,1030,1246,0.51712963,0.193333333,0.481018519,0.839074074,0.476388889,0.818703704,0.882762201,0.375181724,0.426064382,0.329491173,0.622222222,0.583800623,0,4,1
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,242,426,548,843,1071,0.793703704,0.522685185,0.171111111,0.817777778,0.489351852,0.802037037,0.611838006,0.876531672,0.410488058,0.434371755,0.226791277,0.177985462,0,4,1
655dfb4d6bf651b2ba8781ed47a639a615906cb6340d766fb3599eeb3970054d,203,450,693,980,1221,0.841851852,0.830740741,0.831666667,0.493055556,0.20537037,0.16462963,0.372855464,0.169565217,0.581903643,0.594829612,0.59012926,0.164864865,0,4,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,203,662,1214,1471,1714,0.834259259,0.845740741,0.530555556,0.204814815,0.525648148,0.189722222,0.170864198,0.178765432,0.593950617,0.185308642,0.586790123,0.205555556,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,219,1978,2380,2639,2956,0.192592593,0.197222222,0.511018519,0.869907407,0.523148148,0.857685185,0.395802469,0.38345679,0.614320988,0.18962963,0.620740741,0.207037037,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,230,1083,1674,1931,2199,0.518333333,0.526574074,0.524166667,0.824444444,0.507777778,0.843055556,0.178765432,0.186049383,0.40308642,0.636666667,0.36037037,0.593950617,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,254,704,2065,2314,2581,0.51712963,0.519259259,0.839814815,0.518333333,0.86962963,0.496111111,0.799506173,0.784938272,0.19691358,0.151358025,0.18382716,0.207037037,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,146,254,388,480,555,0.517777778,0.514444444,0.16037037,0.517592593,0.134537037,0.493611111,0.788641975,0.777037037,0.402345679,0.146296296,0.374074074,0.159259259,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,278,1065,2050,2388,2730,0.497592593,0.52462963,0.520740741,0.56712963,0.529537037,0.507314815,0.605555556,0.613580247,0.238148148,0.786419753,0.201234568,0.881234568,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,243,661,1009,1312,1754,0.526574074,0.518796296,0.170925926,0.818333333,0.174537037,0.851296296,0.795061728,0.795061728,0.59037037,0.62654321,0.598395062,0.615679012,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,213,530,1329,1623,2141,0.511018519,0.542685185,0.193888889,0.837685185,0.190462963,0.84037037,0.175925926,0.224320988,0.412469136,0.593950617,0.386419753,0.594691358,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,204,528,787,1047,1296,0.530555556,0.545185185,0.528333333,0.21212963,0.516388889,0.140833333,0.798765432,0.784938272,0.394320988,0.378395062,0.410987654,0.405925926,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,221,815,1038,1264,1472,0.832777778,0.825925926,0.18287037,0.175740741,0.188518519,0.183148148,0.202716049,0.193209877,0.400864198,0.13617284,0.428395062,0.152716049,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,181,373,599,807,966,0.857222222,0.876481481,0.872037037,0.473611111,0.908425926,0.534444444,0.47037037,0.403703704,0.552839506,0.616419753,0.588271605,0.617160494,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,188,571,1635,1865,2107,0.197777778,0.232407407,0.835648148,0.841296296,0.853240741,0.840092593,0.162839506,0.177283951,0.369012346,0.602716049,0.332098765,0.549876543,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,143,343,410,535,635,0.482222222,0.477777778,0.905,0.110092593,0.842777778,0.095,0.839259259,0.799506173,0.424074074,0.382839506,0.448641975,0.36617284,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,415,976,1250,1650,2010,0.46,0.48462963,0.853518519,0.169722222,0.811296296,0.155,0.408765432,0.389259259,0.610617284,0.40308642,0.616419753,0.374814815,0,5,1
8764c94df88e6f956084961070c95d5f102696d2bc8bfdfd351904c896a455af,295,688,954,1264,1521,0.18212963,0.19287037,0.521203704,0.190462963,0.538055556,0.153055556,0.22,0.19617284,0.413950617,0.400864198,0.408148148,0.397283951,0,5,1
